reference_candles,with_first_touch,first_touch_rate,median_hours_to_first,opposite_within_24h,opposite_within_24h_from_activate,opposite_within_72h,opposite_within_72h_from_activate,opposite_within_120h,opposite_within_120h_from_activate,first_side_up_share,9PM_opposite_within_72h,9PM_first_touch_n,9AM_opposite_within_72h,9AM_first_touch_n,touch_rate_k2,touch_rate_k2.5,touch_rate_k3,touch_rate_k4,touch_rate_k5,null_terminal_1R_rate,null_terminal_2R_rate,null_median_penetration_R,null_reclaim_rate,scenario,rep
1288,1259,0.9774844720496895,10.616666666666667,0.11278792692613185,0.06274821286735505,0.2708498808578237,0.21445591739475775,0.3852263701350278,0.3367752184273233,0.48212867355043687,0.2843601895734597,633,0.2571884984025559,626,0.7488354037267081,0.703027950310559,0.65722049689441,0.5807453416149069,0.5166925465838509,0.10668449197860963,0.09358288770053476,2.633662959657982,1.0,fat_tails_t4,6
1288,1269,0.985248447204969,10.35,0.1599684791174153,0.08116627265563436,0.31757289204097716,0.2545311268715524,0.4318360914105595,0.37667454688731283,0.5271867612293144,0.33070866141732286,635,0.30441640378548895,634,0.7690217391304348,0.7239906832298136,0.6851708074534162,0.5888975155279503,0.5170807453416149,0.11076443057722309,0.10088403536141445,2.5563366599065604,1.0,fat_tails_t4,7
1288,1202,0.9332298136645962,15.316666666666666,0.06905158069883527,0.029118136439267885,0.2237936772046589,0.15557404326123128,0.3286189683860233,0.2703826955074875,0.5099833610648918,0.24522292993630573,628,0.20034843205574912,574,0.7208850931677019,0.6649844720496895,0.609083850931677,0.5015527950310559,0.41653726708074534,0.13249299719887955,0.11148459383753502,2.0518824236699524,1.0,vol_seasonality,0
1288,1217,0.9448757763975155,14.95,0.07066557107641742,0.03368940016433854,0.21281840591618734,0.15119145439605589,0.31388660640920296,0.25554642563681185,0.49548069022185703,0.2572347266881029,622,0.16638655462184873,595,0.7170031055900621,0.656832298136646,0.6044254658385093,0.5131987577639752,0.4277950310559006,0.1347838372421588,0.11952528962983894,2.1275925342358413,1.0,vol_seasonality,1
1288,1212,0.9409937888198758,15.0,0.08003300330033003,0.038778877887788776,0.22194719471947194,0.16254125412541254,0.3193069306930693,0.2706270627062706,0.5387788778877888,0.2662440570522979,631,0.1738382099827883,581,0.7131211180124224,0.65722049689441,0.6036490683229814,0.515527950310559,0.4340062111801242,0.13002832861189803,0.11614730878186968,2.083406648296747,1.0,vol_seasonality,2
1288,1221,0.9479813664596274,14.333333333333334,0.0728910728910729,0.031122031122031123,0.19656019656019655,0.15233415233415235,0.3013923013923014,0.24733824733824733,0.5167895167895168,0.2419871794871795,624,0.1490787269681742,597,0.7045807453416149,0.6502329192546584,0.5997670807453416,0.5050465838509317,0.4320652173913043,0.12693409742120343,0.11604584527220631,2.1568762392879473,1.0,vol_seasonality,3
1288,1227,0.952639751552795,14.633333333333333,0.07334963325183375,0.03178484107579462,0.20211898940505296,0.1466992665036675,0.3186634066829666,0.25998370008149957,0.5093724531377343,0.23248407643312102,628,0.17028380634390652,599,0.7100155279503105,0.65527950310559,0.6121894409937888,0.5221273291925466,0.4417701863354037,0.12226329257890248,0.10548763150412283,2.1449139819415977,1.0,vol_seasonality,4
1288,1211,0.9402173913043478,14.116666666666667,0.08009909165978531,0.042939719240297276,0.20396366639141206,0.15441783649876134,0.31213872832369943,0.25681255161023947,0.518579686209744,0.24600638977635783,626,0.15897435897435896,585,0.7119565217391305,0.6599378881987578,0.6137422360248447,0.5252329192546584,0.4472049689440994,0.12676853423882287,0.10582908885116016,2.204575812014012,1.0,vol_seasonality,5
1288,1222,0.9487577639751553,14.9,0.09001636661211129,0.04091653027823241,0.2479541734860884,0.16448445171849427,0.34615384615384615,0.3019639934533552,0.48936170212765956,0.28639240506329117,632,0.20677966101694914,590,0.7232142857142857,0.6700310559006211,0.6118012422360248,0.5100931677018633,0.4320652173913043,0.13457787684591807,0.11312343271106158,2.0214552566603787,1.0,vol_seasonality,6
1288,1213,0.9417701863354038,13.783333333333333,0.08738664468260511,0.04699093157460841,0.23907666941467437,0.18219291014014838,0.3446001648804617,0.29760923330585326,0.4666117065127782,0.29079159935379645,619,0.18518518518518517,594,0.7239906832298136,0.6677018633540373,0.6203416149068323,0.5279503105590062,0.45069875776397517,0.1207810320781032,0.10460251046025104,2.197488147168868,1.0,vol_seasonality,7
1288,1256,0.9751552795031055,10.508333333333333,0.13136942675159236,0.07404458598726114,0.28343949044585987,0.22531847133757962,0.3853503184713376,0.34235668789808915,0.5326433121019108,0.2944,625,0.27258320126782887,631,0.7534937888198758,0.7088509316770186,0.672748447204969,0.5888975155279503,0.5085403726708074,0.10618529333687285,0.09317759490310593,2.52887861334553,1.0,bull_drift_15pct,0
1288,1262,0.9798136645962733,10.591666666666667,0.12282091917591126,0.07369255150554675,0.28526148969889065,0.22345483359746435,0.40332805071315375,0.3549920760697306,0.5237717908082409,0.2914012738853503,628,0.27917981072555204,634,0.7554347826086957,0.7072981366459627,0.6692546583850931,0.5982142857142857,0.5229037267080745,0.10615711252653928,0.09474522292993631,2.661963504930269,1.0,bull_drift_15pct,1
1288,1258,0.9767080745341615,10.691666666666666,0.11844197138314785,0.05564387917329094,0.2718600953895072,0.2138314785373609,0.38553259141494434,0.34022257551669316,0.5492845786963434,0.26910828025477707,628,0.2746031746031746,630,0.7550465838509317,0.7084627329192547,0.6680900621118012,0.6005434782608695,0.5244565217391305,0.1,0.09151193633952255,2.6424613294987855,1.0,bull_drift_15pct,2
1288,1255,0.9743788819875776,11.15,0.11792828685258964,0.06932270916334661,0.3075697211155379,0.250996015936255,0.40796812749003986,0.3601593625498008,0.503585657370518,0.3248407643312102,628,0.2902711323763955,627,0.7783385093167702,0.7321428571428571,0.6820652173913043,0.594332298136646,0.5232919254658385,0.10665638653302494,0.09611924955024416,2.6424736945320144,1.0,bull_drift_15pct,3
1288,1262,0.9798136645962733,11.100000000000001,0.10380348652931855,0.05150554675118859,0.26465927099841524,0.20998415213946117,0.37321711568938193,0.3312202852614897,0.5142630744849446,0.27129337539432175,634,0.25796178343949044,628,0.7577639751552795,0.718167701863354,0.6766304347826086,0.593944099378882,0.529891304347826,0.09416096791162545,0.08442924776433457,2.7347884058847978,1.0,bull_drift_15pct,4
1288,1270,0.9860248447204969,10.741666666666667,0.1188976377952756,0.06062992125984252,0.268503937007874,0.21023622047244095,0.36850393700787404,0.3291338582677165,0.5228346456692914,0.279874213836478,636,0.25709779179810727,634,0.7437888198757764,0.7049689440993789,0.6638198757763976,0.5877329192546584,0.5100931677018633,0.09860664523043944,0.08708467309753483,2.64974313909802,1.0,bull_drift_15pct,5
1288,1269,0.985248447204969,10.566666666666666,0.14026792750197006,0.07722616233254531,0.28289992119779356,0.235618597320725,0.38455476753349094,0.3459416863672183,0.5476753349093775,0.25434439178515006,633,0.3113207547169811,636,0.7600931677018633,0.7115683229813664,0.672360248447205,0.5989906832298136,0.5291149068322981,0.10102875230809813,0.09126879451332102,2.7953950764368707,1.0,bull_drift_15pct,6
1288,1259,0.9774844720496895,10.033333333333333,0.13105639396346305,0.0778395552025417,0.29864972200158857,0.24066719618745036,0.40984908657664815,0.36854646544876885,0.5178713264495631,0.2902711323763955,627,0.3069620253164557,632,0.7546583850931677,0.7115683229813664,0.6669254658385093,0.5822981366459627,0.5015527950310559,0.11199364575059571,0.100344188509399,2.4535477959728813,1.0,bull_drift_15pct,7
1288,1221,0.9479813664596274,14.433333333333334,0.06797706797706797,0.03521703521703522,0.2203112203112203,0.1638001638001638,0.3144963144963145,0.257985257985258,0.4914004914004914,0.2679425837320574,627,0.17003367003367004,594,0.7224378881987578,0.6739130434782609,0.625388198757764,0.530667701863354,0.4448757763975155,0.09952738393105366,0.08590492076730609,2.3850371974917652,1.0,seasonal_fat_bull,0
1288,1218,0.9456521739130435,13.491666666666667,0.08374384236453201,0.04351395730706076,0.22495894909688013,0.16995073891625614,0.3251231527093596,0.27257799671592775,0.5344827586206896,0.27821939586645467,629,0.16808149405772496,589,0.7138975155279503,0.6645962732919255,0.6141304347826086,0.5217391304347826,0.4437111801242236,0.1255984229794424,0.10926499577583779,2.16288383877758,1.0,seasonal_fat_bull,1
1288,1225,0.9510869565217391,15.25,0.07020408163265306,0.035918367346938776,0.1893877551020408,0.15428571428571428,0.2938775510204082,0.24571428571428572,0.4906122448979592,0.2396825396825397,630,0.1361344537815126,595,0.7158385093167702,0.6700310559006211,0.6222826086956522,0.5287267080745341,0.453804347826087,0.10952380952380952,0.09803921568627451,2.303757742506741,1.0,seasonal_fat_bull,2
