time,open,high,low,close,MA 1,MA 2
1774530000,4429.31,4460.65,4419.81,4452.76,,
1774533600,4452.76,4479.3,4437,4464.71,,
1774537200,4464.71,4468.83,4433.71,4437.88,,
1774540800,4437.88,4442.71,4366.62,4388.88,,
1774544400,4388.88,4402.4,4376.93,4381.02,,
1774548000,4381.02,4397.71,4367.26,4394.14,,
1774551600,4394.14,4399.21,4359.02,4363.85,,
1774555200,4363.85,4420.31,4350.86,4380.72,,
1774562400,4380.72,4415.06,4379.55,4411.09,,
1774566000,4411.09,4414.11,4389.44,4404.87,,
1774569600,4404.87,4410.81,4375.11,4378.81,,
1774573200,4378.81,4420.21,4376.83,4417,,
1774576800,4417,4440.11,4416.69,4431.86,,
1774580400,4431.86,4445.58,4420.88,4437.41,,
1774584000,4437.41,4449.36,4431.21,4445.76,,
1774587600,4445.76,4475.01,4440.11,4454.23,,
1774591200,4454.23,4472.51,4451.32,4459.34,,
1774594800,4459.34,4462.77,4442.49,4447.44,,
1774598400,4447.44,4451.15,4423.39,4423.85,,
1774602000,4423.85,4437.92,4420.45,4428.51,,
1774605600,4428.51,4432.8,4410.54,4414.81,,
1774609200,4414.81,4426.1,4404.04,4419.72,,
1774612800,4419.72,4445.27,4412.22,4437.88,,
1774616400,4437.88,4443.81,4413.3,4430.67,,
1774620000,4430.67,4515.01,4429.95,4509.35,,
1774623600,4509.35,4555.25,4501.44,4524.09,,
1774627200,4524.09,4533.56,4505.23,4515.86,,
1774630800,4515.86,4522.01,4486.31,4486.64,,
1774634400,4486.64,4528.31,4486.6,4516.7,,
1774638000,4516.7,4526.35,4500.27,4513.9,,
1774641600,4513.9,4520.28,4498.32,4505.44,,
1774821600,4505.44,4513.01,4478.41,4484.41,,
1774825200,4484.41,4492.43,4443.41,4448.61,,
1774828800,4448.61,4466.54,4416.78,4431.58,,
1774832400,4431.58,4475.67,4431.25,4469.3,,
1774836000,4469.3,4499.23,4458.4,4481.06,,
1774839600,4481.06,4517.23,4478.49,4495.65,,
1774843200,4495.65,4498.48,4485.99,4496.8,,
1774846800,4496.8,4528.22,4496.49,4522.41,,
1774850400,4522.41,4550.61,4516.72,4532.55,,
1774854000,4532.55,4534.71,4515.56,4526.98,,
1774857600,4526.98,4540.27,4524.78,4538.37,,
1774861200,4538.37,4540.79,4523.19,4532.66,,
1774864800,4532.66,4539.99,4527.41,4532.12,,
1774868400,4532.12,4580.72,4525.24,4559.32,,
1774872000,4559.32,4578.15,4545.06,4569.3,,
1774875600,4569.3,4578.54,4516.46,4523.56,,
1774879200,4523.56,4541.39,4512.24,4538.71,,
1774882800,4538.71,4556.84,4524.72,4548.07,,
1774886400,4548.07,4549.61,4531.81,4539.91,,
1774890000,4539.91,4542.25,4511.47,4514.89,,
1774893600,4514.89,4523.21,4498.27,4498.92,,
1774897200,4498.92,4518.36,4493.16,4513.4,,
1774900800,4513.4,4516.34,4500.9,4511.14,,
1774908000,4511.14,4523.3,4501.66,4510.36,,
1774911600,4510.36,4521.39,4492.4,4513.46,,
1774915200,4513.46,4547.87,4482.22,4547.41,,
1774918800,4547.41,4619.12,4531.81,4604.7,,
1774922400,4604.7,4606.94,4565.27,4567.58,,
1774926000,4567.58,4576.77,4549.98,4556.91,,
1774929600,4556.91,4569.34,4556.78,4564.49,,
1774933200,4564.49,4581.8,4547.36,4568.6,,
1774936800,4568.6,4568.86,4552.87,4557,,
1774940400,4557,4565.87,4543.08,4564.54,,
1774944000,4564.54,4575.32,4560.36,4568.62,,
1774947600,4568.62,4572.49,4550.19,4555.56,,
1774951200,4555.56,4561.9,4529.16,4546.87,,
1774954800,4546.87,4593.31,4541.12,4582.31,,
1774958400,4582.31,4597.64,4568.91,4574.67,,
1774962000,4574.67,4609.66,4567.48,4606.97,,
1774965600,4606.97,4629.98,4594.85,4599.22,,
1774969200,4599.22,4625.44,4599.16,4609.34,,
1774972800,4609.34,4651.52,4607.03,4638.29,,
1774976400,4638.29,4667.38,4636.06,4654.42,,
1774980000,4654.42,4671.08,4653.34,4667.46,,
