time,open,high,low,close,Upper 2.0 R edge,Lower 2.0 R edge,VWAP,MA 1,MA 2
1779988500,4503.83,4506.86,4501.1,4502.1,4563.2300000000005,4302.18,4426.553171300434,,
1779989400,4502.1,4507.06,4502.08,4504.91,4563.2300000000005,4302.18,4427.233270362263,,
1779990300,4504.91,4510.08,4504.54,4508.79,4563.2300000000005,4302.18,4427.834411897023,,
1779991200,4508.79,4516.43,4506.07,4507.65,4563.2300000000005,4302.18,4428.62127212525,,
1779992100,4507.65,4512.77,4505.16,4506.07,4563.2300000000005,4302.18,4429.350201936545,,
1779993000,4506.07,4506.29,4500.78,4501.72,4563.2300000000005,4302.18,4429.922196867101,,
1779993900,4501.72,4503.66,4498.37,4501.31,4563.2300000000005,4302.18,4430.426798441878,,
1779994800,4501.31,4503.69,4498.56,4499.64,4563.2300000000005,4302.18,4430.926980951694,,
1779995700,4499.64,4503.03,4499.52,4499.57,4563.2300000000005,4302.18,4431.294919428917,,
1779996600,4499.57,4501.87,4498.87,4499.08,4563.2300000000005,4302.18,4431.605076687706,,
1779997500,4499.08,4500.46,4497.16,4497.67,4563.2300000000005,4302.18,4432.078932039651,,
1779998400,4497.67,4498.71,4494.75,4497.02,4563.2300000000005,4302.18,4432.334822766423,,
1779999300,4497.02,4500.7,4496.29,4499.31,4563.2300000000005,4302.18,4432.537454857461,,
1780000200,4499.31,4500.58,4494.86,4495.33,4563.2300000000005,4302.18,4432.690748485038,,
1780001100,4495.33,4496.47,4494.32,4495.4,4563.2300000000005,4302.18,4432.823339084335,,
1780005600,4495.4,4498.73,4491.34,4493.71,4563.2300000000005,4302.18,4494.593333333333,,
1780006500,4493.71,4496.44,4492.32,4495.68,4563.2300000000005,4302.18,4494.691179487179,,
1780007400,4495.68,4496.57,4492.75,4495.43,4563.2300000000005,4302.18,4494.75948295473,,
1780008300,4495.43,4496.08,4490.91,4491.4,4563.2300000000005,4302.18,4494.3539536922435,,
1780009200,4491.4,4495.75,4490.7,4494.52,4563.2300000000005,4302.18,4494.210010639821,,
1780010100,4494.52,4497.13,4491.57,4492.14,4563.2300000000005,4302.18,4494.127208888419,,
1780011000,4492.14,4494.87,4489.15,4490.1,4563.2300000000005,4302.18,4493.656081361379,,
