time,open,high,low,close,MA 1,MA 2
1780984800,29607.51,29648.39,29575.14,29596.64,,
1780988400,29596.64,29663.14,29557.64,29566.51,,
1780992000,29566.51,29660.14,29540.39,29615.51,,
1780995600,29615.51,29669.89,29610.26,29653.76,,
1780999200,29653.76,29672.01,29597.21,29658.76,,
1781002800,29658.76,29700.89,29645.51,29655.01,,
1781006400,29655.01,29710.51,29626.26,29709.01,,
1781010000,29709.01,29820.29,29609.66,29646.21,,
1781013600,29646.21,29685.41,29058.41,29214.04,,
1781017200,29214.04,29274.91,28656.16,28669.16,,
1781020800,28669.16,28761.04,28202.66,28454.54,,
1781024400,28454.54,28898.16,28445.21,28804.29,,
1781028000,28804.29,29064.54,28760.16,29040.41,,
1781031600,29040.41,29118.54,28815.54,29090.29,,
1781035200,29090.29,29169.26,29056.76,29113.34,,
1781042400,29113.34,29113.34,28963.97,29003.42,,
1781046000,29003.42,29074.67,28957.92,29041.85,,
1781049600,29041.85,29144.47,28951.92,29051.67,,
1781053200,29051.67,29089.47,28987.92,29010.85,,
1781056800,29010.85,29018.47,28937.85,28947.47,,
1781060400,28947.47,29022.1,28943.72,28969.22,,
1781064000,28969.22,28978.97,28846.92,28874.42,,
1781067600,28874.42,28944.22,28832.35,28920.6,,
1781071200,28920.6,28989.85,28912.35,28945.47,,
1781074800,28945.47,28977.22,28907.1,28940.22,,
1781078400,28940.22,28940.22,28721.72,28739.6,,
1781082000,28739.6,28795.35,28662.1,28755.72,,
1781085600,28755.72,28820.72,28678.22,28804.67,,
1781089200,28804.67,28821.72,28587.6,28654.72,,
1781092800,28654.72,28969.1,28640.1,28809.35,,
1781096400,28809.35,29138.87,28751.92,28999,,
1781100000,28999,29226.62,28834.5,28879.5,,
1781103600,28879.5,28961.25,28605.17,28832.25,,
1781107200,28832.25,28872.75,28641.87,28695.5,,
1781110800,28695.5,28770.5,28595.37,28756.25,,
1781114400,28756.25,28808.62,28553.12,28584.75,,
1781118000,28584.75,28644.12,28472.25,28505.62,,
1781121600,28505.62,28510.92,28387.92,28447.54,,
1781128800,28447.54,28449.04,28310.54,28321.99,,
1781132400,28321.99,28425.49,28246.54,28343.17,,
1781136000,28343.17,28550.74,28316.24,28530.42,,
1781139600,28530.42,28742.79,28530.42,28623.17,,
1781143200,28623.17,28677.17,28514.79,28616.04,,
1781146800,28616.04,28723.04,28561.99,28719.04,,
1781150400,28719.04,28782.54,28685.04,28755.79,,
1781154000,28755.79,28761.54,28693.04,28727.17,,
1781157600,28727.17,28776.92,28669.17,28772.29,,
1781161200,28772.29,28848.29,28747.67,28825.04,,
1781164800,28825.04,28914.92,28825.04,28890.79,,
1781168400,28890.79,28901.92,28837.99,28857.670000000002,,
1781172000,28857.670000000002,28896.670000000002,28854.49,28858.920000000002,,
1781175600,28858.920000000002,28889.04,28791.99,28881.29,,
1781179200,28881.29,28894.170000000002,28617.24,28792.29,,
1781182800,28792.29,28994.32,28631.57,28881.190000000002,,
1781186400,28881.190000000002,29029.32,28587.74,28629.82,,
1781190000,28629.82,28887.57,28558.49,28838.57,,
1781193600,28838.57,28955.690000000002,28744.24,28750.190000000002,,
1781197200,28750.190000000002,29281.440000000002,28659.24,29194.690000000002,,
1781200800,29194.690000000002,29290.190000000002,29049.24,29249.32,,
1781204400,29249.32,29522.440000000002,29210.57,29438.57,,
1781208000,29438.57,29502.920000000002,29388.99,29414.86,,
1781215200,29414.86,29567.460000000003,29414.86,29539.780000000002,,
1781218800,29539.780000000002,29578.58,29474.460000000003,29559.030000000002,,
1781222400,29559.030000000002,29626.460000000003,29518.280000000002,29569.780000000002,,
1781226000,29569.780000000002,29571.58,29447.030000000002,29533.710000000003,,
1781229600,29533.710000000003,29568.83,29485.030000000002,29544.030000000002,,
1781233200,29544.030000000002,29545.280000000002,29470.280000000002,29510.780000000002,,
1781236800,29510.780000000002,29530.710000000003,29470.08,29525.030000000002,,
